,TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
56,Olallie State Park - Weeks Falls,Snoqualmie Region,1.6,roundtrip,,,3.33,6,47.4418325333,-121.672545969,2021-03-30,14,https://www.wta.org/go-hiking/hikes/weeks-falls
57,Dirty Harry's Balcony,Snoqualmie Region,4.4,roundtrip,1300.0,2600.0,3.55,53,47.4311697903,-121.632393858,2021-04-21,668,https://www.wta.org/go-hiking/hikes/dirty-harrys-balcony
58,Spade Lake,Snoqualmie Region,25.6,roundtrip,5200.0,5400.0,3.38,13,47.4095029413,-121.106768847,2020-10-17,94,https://www.wta.org/go-hiking/hikes/spade-lake
59,Anderson Pass,Olympic Peninsula,,,,4480.0,4.0,4,47.6961153006,-123.326479197,2020-09-03,48,https://www.wta.org/go-hiking/hikes/anderson-pass
60,Sharpe Park - Sares Head,Puget Sound and Islands,2.1,roundtrip,440.0,490.0,4.29,7,48.43061722989061,-122.66462802886964,2021-03-31,105,https://www.wta.org/go-hiking/hikes/sharpe-park-sares-head
61,Sams Walker Nature Trail,Southwest Washington,1.1,roundtrip,50.0,100.0,4.0,1,45.6152354,-122.0533525,2019-07-02,5,https://www.wta.org/go-hiking/hikes/sams-walker-nature-trail
62,Larrabee State Park - Rock Trail,Puget Sound and Islands,2.4,roundtrip,1200.0,1820.0,4.27,11,48.653825162,-122.46488845,2021-04-11,130,https://www.wta.org/go-hiking/hikes/rock-trail
63,Ring Hill Forest,Puget Sound and Islands,2.6,roundtrip,,,2.67,3,47.7451240534,-122.029309273,2020-11-02,12,https://www.wta.org/go-hiking/hikes/ring-hill-forest
64,Salmo-Priest Loop,Eastern Washington,19.0,roundtrip,3400.0,6480.0,3.44,9,48.9586089,-117.0775365,2020-10-02,45,https://www.wta.org/go-hiking/hikes/salmo-priest-loop
65,Rainbow Canyon,Olympic Peninsula,1.0,roundtrip,,,2.25,4,47.8218833333,-122.88335,2021-04-07,8,https://www.wta.org/go-hiking/hikes/rainbow-canyon
66,Ridgefield National Wildlife Refuge,Southwest Washington,2.0,roundtrip,100.0,100.0,3.8,5,45.8310445,-122.7466311,2020-06-28,22,https://www.wta.org/go-hiking/hikes/ridgefield-national-wildlife-refuge
67,Pyramid Mountain / Pyramid Peak,Olympic Peninsula,6.8,roundtrip,2400.0,3089.0,3.23,13,48.0662488675,-123.859382389,2021-01-27,79,https://www.wta.org/go-hiking/hikes/pyramid-mountain-1
68,Pratt Lake Basin,Snoqualmie Region,11.0,roundtrip,2300.0,4100.0,3.9,21,47.3979,-121.48605,2021-03-13,546,https://www.wta.org/go-hiking/hikes/pratt-lake
69,Pine and Cedar Lakes,Puget Sound and Islands,5.0,roundtrip,1400.0,1600.0,3.81,16,48.6906873888,-122.452929821,2021-04-10,186,https://www.wta.org/go-hiking/hikes/pine-and-cedar-lakes
70,Packwood Lake,South Cascades,10.0,roundtrip,600.0,3200.0,3.88,32,46.6083666667,-121.627116667,2021-04-21,342,https://www.wta.org/go-hiking/hikes/packwood-lake
71,Palisades,Mount Rainier Area,15.9,roundtrip,2680.0,5300.0,4.2,15,47.0580458248,-121.573067531,2021-04-23,210,https://www.wta.org/go-hiking/hikes/palisades
72,Oyster Dome,Puget Sound and Islands,5.0,roundtrip,1050.0,2025.0,4.11,149,48.6096353573,-122.426351309,2021-04-18,1026,https://www.wta.org/go-hiking/hikes/oyster-dome
73,Noble Knob,Mount Rainier Area,5.0,roundtrip,950.0,6011.0,4.21,34,47.0511337134,-121.523659229,2021-04-15,365,https://www.wta.org/go-hiking/hikes/noble-knob
74,Larrabee State Park - North Lost Lake Trail,Puget Sound and Islands,9.2,roundtrip,1100.0,,4.0,3,48.7007643,-122.4892558,2021-04-11,58,https://www.wta.org/go-hiking/hikes/north-lost-lake-trail
75,Green River Natural Area - Potter's Trail,Puget Sound and Islands,4.32,roundtrip,500.0,500.0,2.22,9,47.2763811,-122.0893598,2021-04-11,54,https://www.wta.org/go-hiking/hikes/ogrady
76,North Fork Sullivan Creek,Eastern Washington,5.7,one-way,3600.0,6600.0,3.5,4,48.854104,-117.287608,2020-09-05,11,https://www.wta.org/go-hiking/hikes/north-fork-sullivan
77,North Fork Skykomish River,Central Cascades,10.0,roundtrip,1000.0,4000.0,2.83,6,47.9279415,-121.2731497,2020-10-09,72,https://www.wta.org/go-hiking/hikes/north-fork-skykomish-river
78,Notch Pass,Olympic Peninsula,8.6,roundtrip,2700.0,2500.0,3.73,11,47.8262481833,-122.938853667,2021-04-11,107,https://www.wta.org/go-hiking/hikes/notch-pass
79,Mount Walker,Olympic Peninsula,4.0,roundtrip,2000.0,2804.0,3.41,29,47.7756,-122.913733333,2021-04-18,351,https://www.wta.org/go-hiking/hikes/mount-walker
80,Newberry Hill Heritage Park,Olympic Peninsula,13.0,trails,250.0,350.0,4.0,4,47.6345400969,-122.754836082,2021-04-24,31,https://www.wta.org/go-hiking/hikes/newberry-hill-heritage-park
81,Moran State Park - Mountain Lake,Puget Sound and Islands,3.9,roundtrip,50.0,950.0,3.44,9,48.656994966,-122.818964347,2021-03-06,30,https://www.wta.org/go-hiking/hikes/mountain-lake
82,Moore Point,Central Cascades,,,,,3.75,4,48.2354567578,-120.615762955,,0,https://www.wta.org/go-hiking/hikes/moore-point
83,Mount Dickerman,North Cascades,8.2,roundtrip,3950.0,5760.0,4.64,105,48.0538166667,-121.49,2021-04-18,1104,https://www.wta.org/go-hiking/hikes/mount-dickerman
84,Mount Pilchuck,North Cascades,5.4,roundtrip,2300.0,5327.0,4.57,173,48.0702095372,-121.814682931,2021-04-18,1563,https://www.wta.org/go-hiking/hikes/mount-pilchuck
85,Mount Peak (Pinnacle Peak),Puget Sound and Islands,1.8,roundtrip,1000.0,1800.0,3.23,26,47.1788039663,-121.973648071,2021-04-08,194,https://www.wta.org/go-hiking/hikes/mount-peak-pinnacle-peak
86,Moss Lake,Puget Sound and Islands,2.5,roundtrip,,,3.0,4,47.6928142,-121.8503537,2021-03-09,41,https://www.wta.org/go-hiking/hikes/moss-lake
87,Middle Fork Snoqualmie River,Snoqualmie Region,12.0,roundtrip,200.0,1100.0,3.74,31,47.54795,-121.5384,2021-04-09,518,https://www.wta.org/go-hiking/hikes/middle-fork-snoqualmie-upstream
88,McClellan Butte,Snoqualmie Region,9.0,roundtrip,3700.0,5162.0,4.05,40,47.4141833333,-121.588416667,2021-04-15,542,https://www.wta.org/go-hiking/hikes/mcclellan-butte
89,Mildred Lakes,Olympic Peninsula,9.0,roundtrip,2300.0,4100.0,3.5,16,47.5752833333,-123.2612,2020-11-11,108,https://www.wta.org/go-hiking/hikes/mildred-lakes
90,Upper Lyman Lake,Central Cascades,,,,,3.57,7,48.1974869,-120.9464914,2020-08-14,41,https://www.wta.org/go-hiking/hikes/upper-lyman-lake
92,Way Creek,Snoqualmie Region,,,,,3.8,5,47.341372,-120.9032093,2020-05-09,19,https://www.wta.org/go-hiking/hikes/way-creek
97,Vanson Peak,South Cascades,13.2,roundtrip,2600.0,4948.0,3.75,4,46.429383,-122.154817,2020-07-26,22,https://www.wta.org/go-hiking/hikes/vanson-peak
99,Waptus Pass,Snoqualmie Region,,,,,3.75,4,47.4841666667,-121.202933333,2020-11-06,49,https://www.wta.org/go-hiking/hikes/waptus-pass
102,Vanson Ridge,South Cascades,,,,,2.6,5,46.417568,-122.1723948,2019-08-06,8,https://www.wta.org/go-hiking/hikes/vanson-ridge
103,Wallula Habitat Management Unit,Central Washington,6.0,roundtrip,,,3.5,4,46.0677523014,-118.902711868,2013-02-01,1,https://www.wta.org/go-hiking/hikes/wallula-habitat-management-unit
108,Twin Peaks (Horse Lake Mountain),Central Washington,,,,,3.8,5,47.3899912,-120.4246594,2021-03-20,27,https://www.wta.org/go-hiking/hikes/twin-peaks-horse-lake-mountain
109,Twin Peaks,South Cascades,,,,,4.0,4,47.3820790948,-120.443286896,2017-04-15,3,https://www.wta.org/go-hiking/hikes/twin-peaks
110,Trout Lake,Central Cascades,11.5,roundtrip,2000.0,4800.0,3.11,9,47.6059,-120.917033333,2020-09-06,81,https://www.wta.org/go-hiking/hikes/trout-lake
111,Troublesome Creek Nature,Central Cascades,,,,,2.67,3,47.8982833333,-121.40145,2017-10-24,7,https://www.wta.org/go-hiking/hikes/troublesome-creek-nature
117,Twin Lakes (North Cascades),North Cascades,,,,,2.25,8,48.9434833333,-121.662466667,2020-11-22,41,https://www.wta.org/go-hiking/hikes/twin-lakes-2
118,Trail Lake Coulee,Central Washington,5.0,roundtrip,100.0,,2.6,5,47.5343666802,-119.286540075,2020-02-15,4,https://www.wta.org/go-hiking/hikes/trail-lake-coulee
120,Bessemer Mountain,Snoqualmie Region,13.0,roundtrip,4100.0,5028.0,3.2,10,47.5158833333,-121.613416667,2021-04-06,96,https://www.wta.org/go-hiking/hikes/bessemer-mountain
121,Moose Lake,Olympic Peninsula,8.2,roundtrip,1500.0,,4.33,3,47.9396162,-123.419483,2020-09-10,51,https://www.wta.org/go-hiking/hikes/moose-lake
122,Deer Park to Maiden Peak,Olympic Peninsula,9.0,roundtrip,2100.0,6200.0,4.67,6,47.9496767472,-123.264752984,2020-10-05,62,https://www.wta.org/go-hiking/hikes/deer-park-to-maiden-peak
123,PJ Lake,Olympic Peninsula,1.8,roundtrip,825.0,5020.0,2.5,6,47.945833,-123.425467,2020-07-15,17,https://www.wta.org/go-hiking/hikes/pj-lake
124,Lillian Ridge,Olympic Peninsula,4.0,roundtrip,200.0,6100.0,4.0,6,47.9179787806,-123.382129669,2020-08-11,54,https://www.wta.org/go-hiking/hikes/lillian-ridge
125,Grand Ridge,Olympic Peninsula,15.0,roundtrip,3100.0,6625.0,4.55,11,47.9184166667,-123.382116667,2020-09-20,124,https://www.wta.org/go-hiking/hikes/grand-ridge
126,Grand Valley,Olympic Peninsula,7.9,roundtrip,2080.0,6450.0,4.25,20,47.9182978536,-123.3822155,2020-09-19,82,https://www.wta.org/go-hiking/hikes/grand-valley
127,Badger Valley,Olympic Peninsula,8.6,roundtrip,2080.0,6400.0,3.0,7,47.9183553764,-123.382204771,2020-09-10,59,https://www.wta.org/go-hiking/hikes/badger-vallley
128,Rain Shadow Loop,Olympic Peninsula,0.5,roundtrip,170.0,6007.0,4.4,5,47.9546395147,-123.2594347,2020-09-06,20,https://www.wta.org/go-hiking/hikes/rain-shadow-loop
129,Eastside Loop,Mount Rainier Area,36.0,roundtrip,7430.0,6800.0,0.0,0,46.8906920258,-121.596825601,2019-07-04,5,https://www.wta.org/go-hiking/hikes/eastside-loop
130,Spray Park Loop,Mount Rainier Area,16.0,roundtrip,5100.0,6375.0,4.8,10,46.9330697019,-121.864284687,2020-10-18,86,https://www.wta.org/go-hiking/hikes/spray-park-ipsut-pass-loop
131,Stafford Falls via Deer Creek,Mount Rainier Area,4.0,roundtrip,375.0,3250.0,5.0,1,46.8336,-121.53515,2020-10-31,14,https://www.wta.org/go-hiking/hikes/stafford-falls
132,Three Lakes via Laughingwater Creek,Mount Rainier Area,13.0,roundtrip,2800.0,5000.0,2.5,6,46.75178,-121.557136,2020-08-22,59,https://www.wta.org/go-hiking/hikes/three-lakes-via-laughingwater-creek
133,Skyscraper Pass,Mount Rainier Area,6.8,roundtrip,1700.0,7079.0,4.0,5,46.9146,-121.6423,2020-09-06,84,https://www.wta.org/go-hiking/hikes/skyscraper-pass
134,Silver Falls Loop,Mount Rainier Area,3.0,roundtrip,600.0,2300.0,3.71,24,46.73305,-121.569283333,2021-04-09,171,https://www.wta.org/go-hiking/hikes/silver-falls-loop
135,Silver Forest - Emmons Vista,Mount Rainier Area,2.5,roundtrip,325.0,6400.0,3.83,6,46.9140733402,-121.641842333,2020-08-31,27,https://www.wta.org/go-hiking/hikes/silver-forest-emmons-vista
136,Shriner Peak,Mount Rainier Area,8.5,roundtrip,3434.0,5834.0,3.6,15,46.8017666667,-121.555083333,2020-11-01,226,https://www.wta.org/go-hiking/hikes/shriner-peak
137,Paul Peak,Mount Rainier Area,6.2,roundtrip,900.0,3700.0,3.22,9,46.93495,-121.906816667,2020-12-05,56,https://www.wta.org/go-hiking/hikes/paul-peak
138,Palisades Lakes,Mount Rainier Area,7.0,roundtrip,1800.0,6150.0,3.74,23,46.91755,-121.5878,2020-09-07,211,https://www.wta.org/go-hiking/hikes/palisades-lakes
139,Observation Rock,Mount Rainier Area,13.0,roundtrip,3435.0,8364.0,3.0,2,46.9329165381,-121.865329742,2020-09-20,52,https://www.wta.org/go-hiking/hikes/observation-rock
140,Sunrise to Mystic Lake,Mount Rainier Area,18.0,roundtrip,1870.0,6800.0,3.12,8,46.9139052,-121.642342,2020-07-17,46,https://www.wta.org/go-hiking/hikes/mystic-lake
141,Naches Peak Loop,Mount Rainier Area,3.2,roundtrip,600.0,5850.0,4.53,57,46.86735,-121.517583333,2020-11-08,772,https://www.wta.org/go-hiking/hikes/naches-peak-loop
142,Knapsack Pass,Mount Rainier Area,2.9,roundtrip,1300.0,6200.0,3.17,6,46.933150977,-121.864471436,2020-10-03,93,https://www.wta.org/go-hiking/hikes/knapsack-pass
143,Emmons Moraine,Mount Rainier Area,3.0,roundtrip,900.0,5200.0,3.82,11,46.90215,-121.643683333,2020-09-09,109,https://www.wta.org/go-hiking/hikes/emmons-glacier-view
144,Deer Creek Falls,Mount Rainier Area,1.0,roundtrip,280.0,3200.0,3.12,8,46.8335333333,-121.535116667,2020-10-04,14,https://www.wta.org/go-hiking/hikes/deer-creek-falls
145,Dege Peak,Mount Rainier Area,4.0,roundtrip,600.0,7006.0,4.0,18,46.9146166667,-121.642333333,2020-09-07,111,https://www.wta.org/go-hiking/hikes/dege-peak
146,Crystal Lakes,Mount Rainier Area,6.0,roundtrip,2600.0,5828.0,4.33,39,46.9227333333,-121.533616667,2020-11-08,404,https://www.wta.org/go-hiking/hikes/crystal-lakes
147,American Lake,Mount Rainier Area,15.5,roundtrip,2759.0,5858.0,3.3,10,46.8694,-121.51965,2020-10-06,39,https://www.wta.org/go-hiking/hikes/american-lake
148,Summerland - Panhandle Gap,Mount Rainier Area,12.0,roundtrip,2950.0,6800.0,4.6,47,46.8883666667,-121.611033333,2020-11-02,563,https://www.wta.org/go-hiking/hikes/summerland-panhandle-gap
149,Glacier Basin Loop,Mount Rainier Area,11.5,roundtrip,3100.0,7400.0,5.0,2,46.9021,-121.6437,2020-11-01,41,https://www.wta.org/go-hiking/hikes/glacier-basin-loop
151,Sol Duc River,Olympic Peninsula,,,,,3.0,5,47.9550706311,-123.835315704,2020-08-26,47,https://www.wta.org/go-hiking/hikes/sol-duc-river
154,Snowgrass Flat,South Cascades,8.2,roundtrip,1600.0,5800.0,4.35,23,46.4641833333,-121.519,2020-10-17,243,https://www.wta.org/go-hiking/hikes/snowgrass
156,Illahee Lake Trail,Puget Sound and Islands,0.5,roundtrip,,,0.0,0,47.6167230739,-122.025403976,2021-03-15,1,https://www.wta.org/go-hiking/hikes/illahee-lake-trail
157,Tumwater Botanical Area,Central Cascades,2.0,roundtrip,600.0,2268.0,5.0,2,47.6523703186,-120.725319498,2020-06-07,18,https://www.wta.org/go-hiking/hikes/tumwater-botanical-area
158,Candy Mountain Trail,Central Washington,3.6,roundtrip,555.0,1383.0,5.0,1,46.2463853541,-119.348380267,2020-01-19,13,https://www.wta.org/go-hiking/hikes/candy-mountain-trail
159,Puyallup Loop Trail,Puget Sound and Islands,5.5,roundtrip,,,4.0,6,47.18063,-122.316136,2021-03-13,35,https://www.wta.org/go-hiking/hikes/clarks-creek-park-loop
160,Scotchman Peak,Eastern Washington,7.0,roundtrip,3730.0,7009.0,5.0,2,48.1476701106,-116.079233587,2020-09-10,15,https://www.wta.org/go-hiking/hikes/scotchman-peak
161,Silver Creek Trail,South Cascades,4.5,one-way,1200.0,4080.0,0.0,0,46.699097,-121.813363,2020-07-06,2,https://www.wta.org/go-hiking/hikes/silver-creek-trail-258
162,Jack Creek Snowshoe,Snoqualmie Region,29.4,roundtrip,4400.0,4800.0,0.0,0,47.324602,-120.852786,2020-12-10,4,https://www.wta.org/go-hiking/hikes/jack-creek-snowshoe
163,Erinswood,Central Cascades,0.7,roundtrip,50.0,600.0,0.0,0,47.8188,-121.5539,2021-01-24,6,https://www.wta.org/go-hiking/hikes/erinswood
164,Dorado Needle,North Cascades,,,6280.0,8440.0,3.33,3,48.5497219,-121.138612,2018-05-25,3,https://www.wta.org/go-hiking/hikes/dorado-needle
165,Marymoor Park,Puget Sound and Islands,4.0,trails,,,3.0,3,47.6597206576,-122.118786063,2021-03-13,8,https://www.wta.org/go-hiking/hikes/marymoor-park
166,Burton Acres Park,Puget Sound and Islands,1.2,roundtrip,,,5.0,1,47.3935735554,-122.451167107,2021-03-06,5,https://www.wta.org/go-hiking/hikes/burton-acres-park-vashon
167,South Woods Park,Puget Sound and Islands,0.75,roundtrip,100.0,380.0,2.0,1,47.7378877243,-122.307378038,2018-01-06,2,https://www.wta.org/go-hiking/hikes/south-woods-park
168,Highlands Loop - Newcastle,Issaquah Alps,2.3,roundtrip,,,0.0,0,47.5203091061,-122.157465219,2021-01-17,2,https://www.wta.org/go-hiking/hikes/highlands-loop-newcastle
169,Whitehorse Trail,North Cascades,27.0,one-way,,,0.0,0,48.2588056943,-121.604578793,2021-01-07,3,https://www.wta.org/go-hiking/hikes/whitehorse-trail
170,Rainbow Falls Mist Trail,Central Cascades,0.25,roundtrip,30.0,1200.0,0.0,0,48.3422126637,-120.70126377,2020-10-09,9,https://www.wta.org/go-hiking/hikes/rainbow-falls-mist-trail
171,Newhalem Creek,North Cascades,9.0,roundtrip,800.0,2000.0,5.0,2,48.6613192391,-121.251983642,2021-04-13,21,https://www.wta.org/go-hiking/hikes/newhalem-creek-1
172,Rocky Creek Conservation Area,Puget Sound and Islands,2.5,roundtrip,,,0.0,0,47.3846,-122.741037,2020-08-15,1,https://www.wta.org/go-hiking/hikes/rocky-creek-conservation-area
173,Mount Stuart,Snoqualmie Region,11.1,roundtrip,6309.0,9416.0,5.0,2,47.4751179,-120.9031444,2020-10-08,53,https://www.wta.org/go-hiking/hikes/mount-stuart
174,Roughhouse Mountain,Central Cascades,,,,4760.0,0.0,0,47.35601,-120.67441,2017-04-30,1,https://www.wta.org/go-hiking/hikes/roughhouse-mountain
175,White River Falls State Park,Southwest Washington,0.5,roundtrip,250.0,1000.0,0.0,0,45.244154864,-121.097159163,2021-02-27,3,https://www.wta.org/go-hiking/hikes/white-river-falls-state-park
177,Jackson Creek,Eastern Washington,10.0,one-way,2600.0,5600.0,0.0,0,48.8407229651,-116.997906774,2020-09-01,4,https://www.wta.org/go-hiking/hikes/jackson-creek
178,Hughes Fork,Eastern Washington,10.0,one-way,3284.0,5500.0,0.0,0,48.8407875779,-116.998070126,2019-07-18,3,https://www.wta.org/go-hiking/hikes/hughes-fork
179,Wygant Peak Trail,Southwest Washington,8.0,roundtrip,2000.0,2200.0,0.0,0,45.7029,-121.6186,2018-03-26,1,https://www.wta.org/go-hiking/hikes/wygant-peak-trail
180,Hilburn Preserve,Olympic Peninsula,2.0,trails,,,0.0,0,47.2086766269,-123.137431741,2020-10-05,6,https://www.wta.org/go-hiking/hikes/hilburn-preserve
181,Garfield Nature Trail,Olympic Peninsula,0.7,roundtrip,,,0.0,0,47.050969,-122.918471,2020-03-22,1,https://www.wta.org/go-hiking/hikes/garfield-nature-trail
183,Canyon Lake,North Cascades,5.4,roundtrip,200.0,2960.0,0.0,0,48.1084341429,-121.739480495,2020-12-08,4,https://www.wta.org/go-hiking/hikes/canyon-lake-2
184,Glacier View,Mount Rainier Area,4.4,roundtrip,950.0,5450.0,4.1,21,46.7920750866,-121.957121893,2020-12-31,162,https://www.wta.org/go-hiking/hikes/glacier-view
185,Friends Landing,Southwest Washington,1.7,roundtrip,15.0,20.0,0.0,0,46.9478583609,-123.636826035,2020-02-09,3,https://www.wta.org/go-hiking/hikes/friends-landing
186,Devore Creek,Central Cascades,15.0,one-way,5400.0,6600.0,2.75,4,48.3162309357,-120.68005085,2019-06-12,4,https://www.wta.org/go-hiking/hikes/devore-creek
187,Dirty Face Ridge,Olympic Peninsula,7.5,roundtrip,3000.0,6280.0,4.12,8,47.8857872421,-123.08983326,2020-11-08,48,https://www.wta.org/go-hiking/hikes/dirty-face-ridge
188,Dishpan Gap,Central Cascades,9.0,one-way,3200.0,5600.0,2.5,4,47.9769833333,-121.147216667,2020-10-09,33,https://www.wta.org/go-hiking/hikes/dishpan-gap
189,Domke Lake,Central Cascades,7.0,roundtrip,1100.0,2200.0,4.2,5,48.1906968,-120.6278045,2020-06-25,15,https://www.wta.org/go-hiking/hikes/domke-lake
190,Devils Gulch,Central Cascades,9.0,roundtrip,1100.0,2800.0,3.4,5,47.3126267,-120.4240034,2019-06-03,23,https://www.wta.org/go-hiking/hikes/devils-gulch
191,Dock Butte,North Cascades,4.4,roundtrip,1500.0,,4.07,14,48.6537597501,-121.783987999,2020-08-04,125,https://www.wta.org/go-hiking/hikes/dock-butte
