,Unnamed: 0,title,Unnamed: 2,riding area,rating,distance,descent,climb,popularity_score
43,,lease creek trail,,Pasayten Wilderness Area,,7 miles,-188 ft,"1,372 ft",0
44,,pasayten airfield connector,,Pasayten Wilderness Area,,"3,356 ft",-52 ft,,0
45,,the parks trail,,Pasayten Wilderness Area,,2 miles,-16 ft,"1,194 ft",0
46,,heather lake trail,,Pasayten Wilderness Area,,"3,625 ft",-230 ft,17 ft,0
47,,monument 85 trail,,Pasayten Wilderness Area,,2 miles,-57 ft,3 ft,0
48,,point defiance trail,,Pasayten Wilderness Area,,3 miles,,"2,903 ft",0
49,,tatoosh buttes trail,,Pasayten Wilderness Area,,7 miles,"-2,855 ft","2,523 ft",0
50,,hidden lakes trail,,Pasayten Wilderness Area,,21 miles,"-2,223 ft","3,199 ft",0
51,,chancellor canyon creek,,Pasayten Wilderness Area,,6 miles,-467 ft,"3,792 ft",0
52,,castle pass trail,,Pasayten Wilderness Area,,17 miles,"-4,106 ft","7,622 ft",0
53,,jerry lake trail,,Pasayten Wilderness Area,,1 mile,,"1,219 ft",0
54,,east fork pasayten trail,,Pasayten Wilderness Area,,11 miles,"-1,399 ft","2,579 ft",0
55,,eureka creek trail,,Pasayten Wilderness Area,,4 miles,"-1,230 ft",,0
56,,shellrock trail,,Pasayten Wilderness Area,,8 miles,"-2,185 ft","3,802 ft",0
57,,monument creek trail,,Pasayten Wilderness Area,,23 miles,"-5,457 ft","7,372 ft",0
58,,stub creek trail,,Pasayten Wilderness Area,,5 miles,"-1,566 ft","1,404 ft",0
59,,middle mountain,,Pasayten Wilderness Area,,2 miles,-639 ft,"1,675 ft",0
60,,dean creek trail,,Pasayten Wilderness Area,,3 miles,"-2,390 ft",,0
61,,sheep mountain trail,,Pasayten Wilderness Area,,3 miles,-286 ft,645 ft,0
62,,sheep mountain trail  closed ,,Pasayten Wilderness Area,,3 miles,"-1,271 ft",172 ft,0
63,,park pass trail,,Pasayten Wilderness Area,,"3,684 ft",-48 ft,237 ft,0
64,,sheep lake trail,,Pasayten Wilderness Area,,2 miles,-306 ft,501 ft,0
65,,larch creek trail,,Pasayten Wilderness Area,,10 miles,"-2,556 ft","1,280 ft",0
66,,crow lake trail,,Pasayten Wilderness Area,,"2,867 ft",-364 ft,,0
67,,corral lake trail,,Pasayten Wilderness Area,,1 mile,-374 ft,48 ft,0
68,,diamond jack trail,,Pasayten Wilderness Area,,6 miles,"-1,779 ft","1,416 ft",0
69,,eightmile trail,,Pasayten Wilderness Area,,11 miles,"-3,601 ft","3,104 ft",0
70,,lost river trail,,Pasayten Wilderness Area,,2 miles,"-1,008 ft",,0
71,,lake creek trail,,Pasayten Wilderness Area,,18 miles,"-1,265 ft","3,167 ft",0
72,,spanish creek trail,,Pasayten Wilderness Area,,4 miles,-51 ft,947 ft,0
73,,peepsight trail,,Pasayten Wilderness Area,,7 miles,"-1,078 ft","2,484 ft",0
74,,peepsight lake trail,,Pasayten Wilderness Area,,"5,030 ft",-308 ft,269 ft,0
75,,lezamiz trail,,Pasayten Wilderness Area,,1 mile,-50 ft,328 ft,0
76,,remmel cutoff trail,,Pasayten Wilderness Area,,1 mile,-142 ft,202 ft,0
77,,old lesamiz trail  closed ,,Pasayten Wilderness Area,,1 mile,-6 ft,410 ft,0
78,,remmel creek trail  closed ,,Pasayten Wilderness Area,,1 mile,-343 ft,14 ft,0
79,,cathedral lakes trail,,Pasayten Wilderness Area,,4 miles,-272 ft,744 ft,0
80,,lower cathedral lakes cutoff trail,,Pasayten Wilderness Area,,"3,681 ft",-283 ft,,0
81,,lower cathedral lakes access trail,,Pasayten Wilderness Area,,"1,129 ft",-118 ft,,0
82,,apex peak trail,,Pasayten Wilderness Area,,1 mile,,987 ft,0
83,,smith lake trail,,Pasayten Wilderness Area,,"4,642 ft",-96 ft,60 ft,0
84,,windy peak trail,,Pasayten Wilderness Area,,11 miles,"-1,879 ft","3,573 ft",0
85,,four point lake trail,,Pasayten Wilderness Area,,2 miles,-14 ft,"1,608 ft",0
86,,cathedral driveway trail,,Pasayten Wilderness Area,,2 miles,"-1,243 ft",6 ft,0
87,,deer park trail,,Pasayten Wilderness Area,,3 miles,-686 ft,782 ft,0
88,,middle fork trail,,Pasayten Wilderness Area,,3 miles,-21 ft,393 ft,0
89,,clutch creek trail,,Pasayten Wilderness Area,,3 miles,-69 ft,"1,613 ft",0
90,,parking connector,,Pasayten Wilderness Area,,"3,156 ft",,495 ft,0
91,,albert creek trail,,Pasayten Wilderness Area,,8 miles,"-3,057 ft",497 ft,0
92,,disappointment trail,,Loomis Natural Resources Conservation Area,,3 miles,-481 ft,791 ft,0
93,,rainier view trail,,Norse Peak Wilderness,,3 miles,"-1,274 ft",701 ft,0
94,,goat lake spur,,410 / Mount Rainier North,,"2,326 ft",-304 ft,,0
95,,stonesthrow lake,,Snoqualmie Pass,,876 ft,,184 ft,0
96,,south snider jackson trail,,Olympic National Park,,3 miles,"-2,383 ft",78 ft,0
97,,gold buckle,,Kittitas County,,2 miles,,926 ft,0
98,,r r,,Kittitas County,,2 miles,-56 ft,511 ft,0
99,,r r cutoff,,Kittitas County,,"2,428 ft",,177 ft,0
0,,twin falls lake trail  closed ,,Morning Star NRCA,,1 mile,-25 ft,564 ft,0
1,,manastash ridge road,,Naches,,3 miles,-751 ft,27 ft,0
2,,hudson road,,Naches,,3 miles,-65 ft,"1,281 ft",0
3,,national forest development road 8040,,Chelan,,3 miles,-424 ft,520 ft,0
4,,bald mountain ridge trail,,Morning Star NRCA,,6 miles,"-2,447 ft",802 ft,0
5,,national forest development road 125,,410 / Mount Rainier North,,"1,378 ft",-9 ft,13 ft,0
6,,national forest development road 126,,410 / Mount Rainier North,,"1,572 ft",,15 ft,0
7,,national forest development road 635,,410 / Mount Rainier North,,"2,539 ft",-37 ft,40 ft,0
8,,fifes ridge trail,,410 / Mount Rainier North,,3 miles,-130 ft,"1,186 ft",0
9,,national forest development road 021,,Dark Divide,,"4,629 ft",,138 ft,0
10,,national forest development road 94,,Dark Divide,,8 miles,-995 ft,696 ft,0
11,,frog lake trail  659,,Snohomish County,,"4,065 ft",-284 ft,,0
12,,bluff lake trail,,Goat Rock Wilderness,,6 miles,-33 ft,"3,449 ft",0
13,,national forest development road 2130,,Packwood,,8 miles,"-2,066 ft",27 ft,0
14,,a3300,,Packwood,,3 miles,"-1,390 ft",24 ft,0
15,,whites ridge 4 4 trail,,Packwood,,4 miles,-135 ft,"1,618 ft",0
16,,a2600,,Packwood,,3 miles,-265 ft,"1,246 ft",0
17,,a2700,,Packwood,,2 miles,-46 ft,767 ft,0
18,,a3400,,Packwood,,3 miles,-976 ft,499 ft,0
19,,bureau of indian affairs road 267,,Packwood,,9 miles,"-2,233 ft",68 ft,0
20,,bureau of indian affairs road 32,,Packwood,,6 miles,-794 ft,961 ft,0
21,,bureau of indian affairs road 255,,Packwood,,7 miles,-132 ft,308 ft,0
22,,elk lake trail,,Indian Heaven Wilderness,,"3,045 ft",-3 ft,85 ft,0
23,,sunshine trail,,Trapper Creek Wilderness,,1 mile,,"1,638 ft",0
24,,deer cutoff trail,,Trapper Creek Wilderness,,"3,757 ft",-194 ft,240 ft,0
25,,4305 128,,Teanaway Community Forest,,1 mile,-34 ft,373 ft,0
26,,natural bridge trail,,,,"4,239 ft",-22 ft,379 ft,0
27,,serpentine,,Whitworth University Back 40,,312 ft,,50 ft,0
28,,pct   winder river road to crest horse 2000h,,Falls Creek,,17 miles,"-1,640 ft","4,101 ft",0
29,,placid lake trail  29,,Indian Heaven Wilderness,,3 miles,-95 ft,956 ft,0
30,,chenamus lake 28a,,Indian Heaven Wilderness,,"2,812 ft",-3 ft,62 ft,0
31,,wood lake  185,,Indian Heaven Wilderness,,"4,150 ft",-274 ft,,0
