,Unnamed: 0,title,Unnamed: 2,riding area,rating,distance,descent,climb,popularity_score
56,,a-t--side-trails--muskrat-creek-shelter-side-trail,,Appalachian Trail Corridor (NC),,108 ft,,3 ft,0
57,,soil-and-water-trail,,Holmes Education State Forest,,614 ft,-21 ft,17 ft,0
58,,lake-loop-connector,,Haw River State Park,,315 ft,-23 ft,,0
59,,a-t--side-trails--cheoah-bald-vista-3-side-trail,,Appalachian Trail Corridor (NC),,157 ft,-5 ft,8 ft,0
60,,yellow-patch-trail--25,,Southern Nantahala National Forest,,"3,550 ft",,123 ft,0
61,,townsend-trail-spur,,Greensboro,,335 ft,,,0
62,,newton-bald-concession-horse-trail-loop,,Great Smoky Mountains National Park - West NC,,1 mile,-133 ft,194 ft,0
63,,thomas-branch-trail--375,,Southern Nantahala National Forest,,"1,365 ft",-28 ft,11 ft,0
64,,devil-s-den-nature--192,,Mount Mitchell State Park,,"2,776 ft",-119 ft,114 ft,0
65,,a-t--side-trails--sweetwater-valley-vista-side-trail,,Appalachian Trail Corridor (NC),,102 ft,-4 ft,3 ft,0
66,,bog-garden-trail,,Greensboro,,49 ft,,,0
67,,hurricane-creek-loop--36,,Southern Nantahala National Forest,,4 miles,-530 ft,941 ft,0
68,,cliffcreek-drive-connector,,North Carolina,,561 ft,,9 ft,0
69,,picnic-area-trail,,Holmes Education State Forest,,489 ft,,43 ft,0
70,,rufus-morgan-waterfall,,Central Nantahala National Forest,,233 ft,-14 ft,,0
71,,lower-ragan-s-loop,,Little Switzerland,,745 ft,-67 ft,,0
72,,south-river-trail,,West Point on the Eno,,"2,799 ft",-56 ft,52 ft,0
73,,big-fork-ridge-trail,,,,3 miles,-599 ft,823 ft,0
74,,wells-knob-trail,,Austin,,2 miles,-143 ft,568 ft,0
75,,overmountain-victory-national-historic-trail,,Little Switzerland,,"1,745 ft",-11 ft,19 ft,0
76,,lakeshore-trail--bmt-,,Great Smoky Mountains National Park - West NC,,19 miles,"-2,658 ft","2,688 ft",0
77,,panthertown-valley-1,,,,"1,336 ft",-91 ft,9 ft,0
78,,dunnagan-north,,Eno River State Park,,"4,108 ft",-87 ft,36 ft,0
79,,mountain-to-sea-trail--nc-segment-18,,Stone Mountain State Park,,"3,937 ft",-131 ft,161 ft,0
80,,laurel-bluff-trail,,Eno River State Park,,8 miles,-696 ft,615 ft,0
81,,hangover-lead-trail--north--tr56,,Joyce Kilmer/Slickrock Wilderness,,2 miles,-416 ft,"1,722 ft",0
82,,fisherman-s-trail,,New Hope Overlook,,"3,586 ft",-22 ft,27 ft,0
83,,hemphill-bald-trail,,Great Smoky Mountains National Park - East NC,,8 miles,"-2,942 ft","1,143 ft",0
84,,cameron-street-connector,,Hillsborough,,200 ft,,,0
85,,a-t--side-trails--a--rufus-morgan-shelter-water-source-1-side-trail,,Appalachian Trail Corridor (NC),,16 ft,,,0
86,,campsite-98-access,,Great Smoky Mountains National Park - West NC,,483 ft,,26 ft,0
87,,rim-trail--72,,Hayesville,,5 miles,-778 ft,"2,636 ft",0
88,,devil---39-s-hole-trail,,Linville Gorge Wilderness Area,,1 mile,"-1,134 ft",84 ft,0
89,,watershed-extension-loop,,Clemmons Educational State Forest,,2 miles,-152 ft,140 ft,0
90,,peggy-cates-bartow-loop-trail,,Hillsborough,,"1,060 ft",-22 ft,,0
91,,springhouse-branch-trail,,Great Smoky Mountains National Park - West NC,,7 miles,"-1,954 ft","1,570 ft",0
92,,welch-ridge-trail,,Great Smoky Mountains National Park - West NC,,6 miles,"-1,528 ft",977 ft,0
93,,mountains-to-sea-trail--nc-segment-6,,Old Fort,,8 miles,"-1,534 ft","1,955 ft",0
94,,a-t--side-trails--rock-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,322 ft,-3 ft,3 ft,0
95,,mitchell-lick-tr154,,"Nantahala National Forest, Cheoah Ranger District",,2 miles,-886 ft,99 ft,0
96,,connector-trail,,Great Bend Park,,115 ft,,3 ft,0
97,,gold-loop,,Hillsborough,,364 ft,,,0
98,,a-t--side-trails--siler-bald-shelter-side-trail-tr373-tr373,,Appalachian Trail Corridor (NC),,"1,175 ft",-87 ft,,0
99,,mountains-to-sea-trail--nc-segment-1,,Maggie Valley,,6 miles,-579 ft,"1,643 ft",0
0,,yellow-creek-mountain-trail--bmt--tr48,,"Nantahala National Forest, Cheoah Ranger District",,2 miles,-118 ft,900 ft,0
1,,hurricane-creek-loop--36,,Southern Nantahala National Forest,,4 miles,-530 ft,941 ft,0
2,,mountain-to-sea-trail--nc-segment-16,,Stony Fork,,28 miles,"-3,926 ft","3,726 ft",0
3,,cliffcreek-drive-connector,,North Carolina,,561 ft,,9 ft,0
4,,picnic-area-trail,,Holmes Education State Forest,,489 ft,,43 ft,0
5,,pine-ridge-connector,,Harper Creek Wilderness Study Area,,"2,297 ft",,434 ft,0
6,,yellow-creek-mountain-trail-tr48,,"Nantahala National Forest, Cheoah Ranger District",,7 miles,"-1,115 ft","2,343 ft",0
7,,enloe-creek-trail--bmt-,,,,3 miles,-708 ft,"1,179 ft",0
8,,creekside-trail,,New Hope Overlook,,"2,277 ft",-11 ft,49 ft,0
9,,little-cataloochee-trail,,,,5 miles,"-1,192 ft","1,078 ft",0
10,,high-rocks-trail,,Great Smoky Mountains National Park - West NC,,"1,655 ft",-2 ft,235 ft,0
11,,talking-tree-trail,,Clemmons Educational State Forest,,"2,625 ft",-27 ft,31 ft,0
12,,riverwalk-connector,,Hillsborough,,348 ft,,10 ft,0
13,,snowbird-mountain-tr415,,"Nantahala National Forest, Cheoah Ranger District",,13 miles,"-3,841 ft","2,054 ft",0
14,,mountains-to-sea-trail--nc-segment-5,,Asheville,,39 miles,"-5,258 ft","8,555 ft",0
15,,thomas-divide-trail-upper,,Great Smoky Mountains National Park - West NC,,5 miles,-832 ft,955 ft,0
16,,headquarters-mountain,,Brown Mountain,,4 miles,"-1,517 ft",117 ft,0
17,,haw-river-trail,,Great Bend Park,,1 mile,-47 ft,9 ft,0
18,,piedmont-loop-trail,,Haw River State Park,,1 mile,-103 ft,145 ft,0
19,,old-deep-creek-quiet-walkway,,Great Smoky Mountains National Park - West NC,,817 ft,-128 ft,,0
20,,demonstration-trail,,Clemmons Educational State Forest,,2 miles,-159 ft,151 ft,0
21,,deep-creek-trail,,Great Smoky Mountains National Park - West NC,,6 miles,-802 ft,224 ft,0
22,,rim-trail--72,,Hayesville,,5 miles,-778 ft,"2,636 ft",0
23,,ccc-trail,,Hanging Rock State Park,,810 ft,-29 ft,4 ft,0
24,,shallow-ford-loop-trail,,Shallow Ford Natural Area,,"2,201 ft",-49 ft,2 ft,0
25,,a-t--side-trails--a--rufus-morgan-shelter-side-trail,,Appalachian Trail Corridor (NC),,203 ft,,20 ft,0
26,,windy-gap-trail--bmt--tr400,,Joyce Kilmer/Slickrock Wilderness,,1 mile,-588 ft,34 ft,0
27,,armstrong-creek-trail,,Woods Mountain,,3 miles,"-1,622 ft",,0
28,,brightwood-park-trail,,Greensboro,,"1,270 ft",-33 ft,13 ft,0
29,,yellow-creek-mountain-trail-tr48,,"Nantahala National Forest, Cheoah Ranger District",,"2,733 ft",-57 ft,366 ft,0
30,,hazel-creek-trail-east,,Great Smoky Mountains National Park - West NC,,9 miles,-163 ft,"2,786 ft",0
31,,gold-loop,,Hillsborough,,240 ft,,,0
32,,a-t--side-trails--siler-bald-shelter-side-trail--n-,,Appalachian Trail Corridor (NC),,"2,024 ft",-279 ft,,0
33,,noland-creek-trail--bmt-,,Great Smoky Mountains National Park - East NC,,9 miles,-24 ft,"2,427 ft",0
34,,deep-low-gap-trail,,Great Smoky Mountains National Park - West NC,,6 miles,"-1,019 ft","2,161 ft",0
35,,big-spring-trail,,Southern Nantahala National Forest,,2 miles,-18 ft,"1,119 ft",0
36,,mountain-to-sea-trail--nc-segment-32,,Durham,,2 miles,-56 ft,41 ft,0
37,,deep-creek-trail-connector,,Joyce Kilmer/Slickrock Wilderness,,2 miles,-612 ft,178 ft,0
38,,brightwood-park-trail,,Greensboro,,482 ft,-3 ft,,0
39,,blackwell-gap-loop--366,,Southern Nantahala National Forest,,3 miles,-635 ft,354 ft,0
40,,a-t--side-trails--swinging-lick-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,121 ft,-14 ft,,0
41,,jenkins-meadow-tr53a,,Joyce Kilmer/Slickrock Wilderness,,3 miles,,"2,399 ft",0
42,,a-t--side-trails--wesser-bald-shelter-water-source-side-trail,,Appalachian Trail Corridor (NC),,98 ft,,2 ft,0
43,,fishing-pier,,Lake James State Park,,541 ft,-17 ft,,0
44,,lakeview-quiet-walkway,,Great Smoky Mountains National Park - East NC,,797 ft,-104 ft,24 ft,0
45,,sauratown-trail---seciton-15,,Pilot Mountain State Park,,2 miles,-233 ft,350 ft,0
46,,mountains-to-sea-trail--nc-segment-3,,Middle Prong Wilderness,,10 miles,"-1,277 ft","1,797 ft",0
47,,diamond-lake-bottoms-trail,,Vade Mecum,,"2,293 ft",-68 ft,,0
48,,a-t--side-trails--standing-indian-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,102 ft,-8 ft,,0
49,,connector-trail,,Haw River State Park,,469 ft,,26 ft,0
50,,a-t--side-trails--cold-spring-shelter-campsite-side-trail,,Appalachian Trail Corridor (NC),,351 ft,,33 ft,0
51,,mooney-falls-spur-trail-31a,,Southern Nantahala National Forest,,384 ft,-22 ft,,0
52,,a-t--side-trails--cheoah-bald-vista-2-side-trail,,Appalachian Trail Corridor (NC),,184 ft,,,0
53,,panthertown-valley-1,,,,"1,336 ft",-91 ft,9 ft,0
54,,mcclure-cemetery-access,,Great Smoky Mountains National Park - West NC,,779 ft,-13 ft,44 ft,0
55,,bear-pen-gap-tr22,,Southern Nantahala National Forest,,2 miles,-4 ft,"1,247 ft",0
56,,swinging-bridge-quiet-walkway,,Great Smoky Mountains National Park - West NC,,"2,546 ft",-272 ft,11 ft,0
57,,park-ridge-trail--32,,Southern Nantahala National Forest,,3 miles,-146 ft,945 ft,0
58,,bridle-loop-trail--lower-,,Stone Mountain State Park,,1 mile,-99 ft,173 ft,0
59,,connector-trail,,Haw River State Park,,69 ft,,,0
60,,a-t--side-trails--wayah-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,92 ft,,,0
61,,timber-ridge-trail--20,,Southern Nantahala National Forest,,2 miles,-49 ft,910 ft,0
62,,noland-creek-access-trail,,Great Smoky Mountains National Park - West NC,,"1,004 ft",-118 ft,,0
63,,a-t--side-trails--rock-gap-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,449 ft,-36 ft,,0
64,,highland-trail,,Great Bend Park,,"1,375 ft",-39 ft,27 ft,0
65,,picnic-area-trail,,Holmes Education State Forest,,79 ft,,,0
66,,rim-trail--72,,Hayesville,,3 miles,"-1,130 ft",419 ft,0
67,,wildcat-rock-overlook-trail,,Doughton Recreation Area,,"1,201 ft",-25 ft,43 ft,0
68,,deep-gap-branch-trail--377,,Southern Nantahala National Forest,,2 miles,"-1,409 ft",,0
69,,bridle-loop-trail--upper-,,Stone Mountain State Park,,1 mile,-169 ft,243 ft,0
70,,big-indian-loop-trail--34,,Southern Nantahala National Forest,,8 miles,"-1,222 ft","1,230 ft",0
71,,thomas-branch-trail--375,,Southern Nantahala National Forest,,2 miles,-509 ft,578 ft,0
72,,a-t--side-trails--brown-fork-gap-shelter-water-source-side-trail,,Appalachian Trail Corridor (NC),,207 ft,-28 ft,,0
73,,picnic-area-trail,,Holmes Education State Forest,,"1,148 ft",,55 ft,0
74,,picnic-area-trail,,Holmes Education State Forest,,118 ft,,,0
75,,round-mountain-gap-trail,,Gorges State Park,,2 miles,-603 ft,116 ft,0
76,,bartram-trail--fishhawk-mtn--tr67,,Franklin,,15 miles,"-4,571 ft","3,049 ft",0
77,,hangover-lead-trail-south--bmt--tr56,,Joyce Kilmer/Slickrock Wilderness,,3 miles,"-2,120 ft",10 ft,0
78,,falls-lake--end-of-the-line---23,,Durham,,4 miles,-159 ft,158 ft,0
79,,mountain-to-sea-trail--nc-segment-20,,Stone Mountain State Park,,2 miles,-420 ft,74 ft,0
80,,hyatt-ridge-trail-upper,,,,"4,744 ft",-84 ft,170 ft,0
81,,boardwalk,,Brumley Nature Preserve,,131 ft,,,0
82,,ridgeline-trail,,Crowders Mountain State Park,,1 mile,-68 ft,28 ft,0
83,,bridle-out-and-back-trail,,Stone Mountain State Park,,4 miles,-377 ft,803 ft,0
84,,cold-spring-gap-trail,,Great Smoky Mountains National Park - West NC,,4 miles,-133 ft,"2,513 ft",0
85,,talking-rock,,Clemmons Educational State Forest,,"2,979 ft",-27 ft,36 ft,0
86,,noland-creek-trail---lower,,Great Smoky Mountains National Park - West NC,,"4,810 ft",,119 ft,0
87,,jenkins-ridge-trail,,Great Smoky Mountains National Park - West NC,,9 miles,"-3,946 ft","1,186 ft",0
88,,a-t--side-trails--rock-gap-shelter-water-source-side-trail,,Appalachian Trail Corridor (NC),,46 ft,,,0
89,,highland-trail,,Great Bend Park,,"1,007 ft",-24 ft,18 ft,0
90,,stratton-bald-trail-tr54,,Joyce Kilmer/Slickrock Wilderness,,6 miles,"-3,277 ft",83 ft,0
91,,long-bunk-trail,,,,4 miles,-216 ft,"1,335 ft",0
92,,mountains-to-sea-trail--nc-segment-2,,Waynesville,,32 miles,"-5,219 ft","4,665 ft",0
93,,a-t--side-trails--long-branch-shelter-campsite-side-trail,,Appalachian Trail Corridor (NC),,69 ft,-9 ft,,0
94,,wolf-laurel-trail-tr57,,Joyce Kilmer/Slickrock Wilderness,,814 ft,,62 ft,0
95,,bristol-trail--76,,Hayesville,,1 mile,-666 ft,21 ft,0
96,,haw-river-trail,,Burlington,,"1,214 ft",-17 ft,30 ft,0
97,,newton-bald-concession-horse-trail-loop,,Great Smoky Mountains National Park - East NC,,"1,234 ft",-34 ft,50 ft,0
98,,beech-flats-quiet-walkway,,Great Smoky Mountains National Park - East NC,,"3,392 ft",-72 ft,306 ft,0
99,,gold-loop,,Hillsborough,,253 ft,-3 ft,,0
0,,bristol-trail--76,,Hayesville,,1 mile,-666 ft,21 ft,0
1,,haw-river-trail,,Burlington,,"1,214 ft",-17 ft,30 ft,0
2,,wiggly-grit-trail,,Vade Mecum,,"4,551 ft",-17 ft,132 ft,0
3,,mountain-to-sea-trail--nc-segment-31,,West Point on the Eno,,1 mile,-35 ft,15 ft,0
4,,a-t--side-trails--big-spring-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,262 ft,-13 ft,,0
5,,yellow-hammer-gap-trail--bmt--tr49,,Joyce Kilmer/Slickrock Wilderness,,2 miles,-435 ft,323 ft,0
6,,cataloochee-divide-trail,,Great Smoky Mountains National Park - East NC,,7 miles,-748 ft,"1,765 ft",0
7,,falls-lake--end-of-the-line---23,,Durham,,4 miles,-159 ft,158 ft,0
8,,brightwood-park-trail,,Greensboro,,200 ft,-2 ft,,0
9,,benton-mackaye-trail-connector-s-19,,"Nantahala National Forest, Cheoah Ranger District",,167 ft,,16 ft,0
10,,yadkin-islands-trail,,Pilot Mountain State Park Yadkin River Section,,1 mile,-18 ft,21 ft,0
11,,a-t--side-trails--siler-bald-shelter-side-trail--s-,,Appalachian Trail Corridor (NC),,"2,585 ft",-148 ft,11 ft,0
12,,mountain-to-sea-trail--nc-segment-17,,Stone Mountain State Park,,8 miles,"-2,126 ft",397 ft,0
13,,a-t--side-trails--cable-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,33 ft,,,0
14,,big-laurel-falls-trail--29,,Southern Nantahala National Forest,,"2,710 ft",-10 ft,103 ft,0
15,,mountain-to-sea-trail--nc-segment-26,,Elkin,,"2,169 ft",-7 ft,90 ft,0
16,,pelican-pool-trail,,Vade Mecum,,"4,006 ft",-156 ft,133 ft,0
17,,crab-creek-trail,,Holmes Education State Forest,,"2,448 ft",-8 ft,3 ft,0
18,,connector-trail,,Haw River State Park,,269 ft,-10 ft,,0
19,,big-fat-branch-trail,,Joyce Kilmer/Slickrock Wilderness,,1 mile,,992 ft,0
20,,mountain-to-sea-trail--nc-segment-15,,Blowing Rock,,21 miles,"-3,033 ft","3,254 ft",0
21,,thumb,,Stephens Road Nature Preserve,,502 ft,,41 ft,0
22,,a-t--side-trails--hog-camp-water-source-side-trail,,Appalachian Trail Corridor (TN),,262 ft,-39 ft,,0
23,,tr-22,,Appalachian Trail Corridor (NC),,39 ft,,,0
24,,cold-spring-gap-trail,,Great Smoky Mountains National Park - West NC,,4 miles,-133 ft,"2,513 ft",0
25,,beech-gap-trail--35,,Southern Nantahala National Forest,,"2,894 ft",-47 ft,298 ft,0
26,,jenkins-ridge-trail,,Great Smoky Mountains National Park - West NC,,9 miles,"-3,946 ft","1,186 ft",0
27,,picnic-area-trail,,Holmes Education State Forest,,203 ft,,,0
28,,lake-loop-trail,,Haw River State Park,,"1,699 ft",-13 ft,14 ft,0
29,,a-t--side-trails--cold-spring-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,85 ft,-7 ft,,0
30,,jim-redd-trail,,Kanuga Conference & Retreat,,2 miles,-100 ft,414 ft,0
31,,rim-trail--72,,Hayesville,,4 miles,-865 ft,653 ft,0
32,,a-t--side-trails--cheoah-bald-vista-1-side-trail,,Appalachian Trail Corridor (NC),,112 ft,,28 ft,0
33,,stiles-cemetery-access,,Great Smoky Mountains National Park - West NC,,335 ft,-28 ft,,0
34,,big-scaly-trail--638,,Southern Nantahala National Forest,,"3,625 ft",,314 ft,0
35,,soil-and-water-trail,,Holmes Education State Forest,,614 ft,-21 ft,17 ft,0
36,,lake-loop-connector,,Haw River State Park,,315 ft,-23 ft,,0
37,,bartram-trail--fishhawk-mtn--tr67,,Franklin,,15 miles,"-4,571 ft","3,049 ft",0
38,,a-t--side-trails--cheoah-bald-vista-3-side-trail,,Appalachian Trail Corridor (NC),,157 ft,-5 ft,8 ft,0
39,,newton-bald-concession-horse-trail-loop,,Great Smoky Mountains National Park - East NC,,"1,234 ft",-34 ft,50 ft,0
40,,yellow-patch-trail--25,,Southern Nantahala National Forest,,"3,550 ft",,123 ft,0
41,,townsend-trail-spur,,Greensboro,,335 ft,,,0
42,,newton-bald-concession-horse-trail-loop,,Great Smoky Mountains National Park - West NC,,1 mile,-133 ft,194 ft,0
43,,beech-flats-quiet-walkway,,Great Smoky Mountains National Park - East NC,,"3,392 ft",-72 ft,306 ft,0
44,,thomas-branch-trail--375,,Southern Nantahala National Forest,,"1,365 ft",-28 ft,11 ft,0
45,,a-t--side-trails--muskrat-creek-shelter-side-trail,,Appalachian Trail Corridor (NC),,108 ft,,3 ft,0
46,,a-t--side-trails--sweetwater-valley-vista-side-trail,,Appalachian Trail Corridor (NC),,102 ft,-4 ft,3 ft,0
47,,conner-at-hickory-flats-cemetery-access,,Great Smoky Mountains National Park - East NC,,985 ft,-87 ft,17 ft,0
48,,bog-garden-trail,,Greensboro,,49 ft,,,0
49,,hurricane-creek-loop--36,,Southern Nantahala National Forest,,4 miles,-530 ft,941 ft,0
50,,cliffcreek-drive-connector,,North Carolina,,561 ft,,9 ft,0
51,,carter-gap-trail,,Southern Nantahala National Forest,,"4,710 ft",-55 ft,482 ft,0
52,,picnic-area-trail,,Holmes Education State Forest,,489 ft,,43 ft,0
53,,pilkey-cemetery-access,,Great Smoky Mountains National Park - West NC,,"2,721 ft",-18 ft,315 ft,0
54,,lower-ragan-s-loop,,Little Switzerland,,745 ft,-67 ft,,0
55,,big-fork-ridge-trail,,,,3 miles,-599 ft,823 ft,0
56,,wells-knob-trail,,Austin,,2 miles,-143 ft,568 ft,0
57,,overmountain-victory-national-historic-trail,,Little Switzerland,,"1,745 ft",-11 ft,19 ft,0
58,,campsite-81-access,,Great Smoky Mountains National Park - West NC,,365 ft,-43 ft,,0
59,,lakeshore-trail--bmt-,,Great Smoky Mountains National Park - West NC,,19 miles,"-2,658 ft","2,688 ft",0
60,,campsite-87-access,,Great Smoky Mountains National Park - West NC,,936 ft,-54 ft,102 ft,0
61,,mountain-to-sea-trail--nc-segment-18,,Stone Mountain State Park,,"3,937 ft",-131 ft,161 ft,0
62,,mountains-to-sea-trail--nc-segment-2,,Waynesville,,32 miles,"-5,219 ft","4,665 ft",0
63,,laurel-bluff-trail,,Eno River State Park,,8 miles,-696 ft,615 ft,0
64,,hangover-lead-trail--north--tr56,,Joyce Kilmer/Slickrock Wilderness,,2 miles,-416 ft,"1,722 ft",0
65,,fisherman-s-trail,,New Hope Overlook,,"3,586 ft",-22 ft,27 ft,0
66,,hemphill-bald-trail,,Great Smoky Mountains National Park - East NC,,8 miles,"-2,942 ft","1,143 ft",0
67,,cameron-street-connector,,Hillsborough,,200 ft,,,0
68,,a-t--side-trails--a--rufus-morgan-shelter-water-source-1-side-trail,,Appalachian Trail Corridor (NC),,16 ft,,,0
69,,rim-trail--72,,Hayesville,,5 miles,-778 ft,"2,636 ft",0
70,,devil---39-s-hole-trail,,Linville Gorge Wilderness Area,,1 mile,"-1,134 ft",84 ft,0
71,,watershed-extension-loop,,Clemmons Educational State Forest,,2 miles,-152 ft,140 ft,0
72,,peggy-cates-bartow-loop-trail,,Hillsborough,,"1,060 ft",-22 ft,,0
73,,springhouse-branch-trail,,Great Smoky Mountains National Park - West NC,,7 miles,"-1,954 ft","1,570 ft",0
74,,a-t--side-trails--rock-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,322 ft,-3 ft,3 ft,0
75,,mitchell-lick-tr154,,"Nantahala National Forest, Cheoah Ranger District",,2 miles,-886 ft,99 ft,0
76,,connector-trail,,Great Bend Park,,115 ft,,3 ft,0
77,,gold-loop,,Hillsborough,,364 ft,,,0
78,,a-t--side-trails--siler-bald-shelter-side-trail-tr373-tr373,,Appalachian Trail Corridor (NC),,"1,175 ft",-87 ft,,0
79,,shepperd-mill-trail,,Confluence Natural Area,,"1,959 ft",-34 ft,31 ft,0
80,,a-t--side-trails--long-branch-shelter-water-source-side-trail,,Appalachian Trail Corridor (NC),,69 ft,,,0
81,,deep-creek-trail-tr46,,Joyce Kilmer/Slickrock Wilderness,,6 miles,-20 ft,"3,177 ft",0
